order_date_col,order categorical feature 1,order categorical feature 2,order categorical feature 3,join_col
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2916,order categorical feature 3 #253,9663
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2916,order categorical feature 3 #135,7980
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #6437,order categorical feature 3 #126,1870
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #6437,order categorical feature 3 #185,2577
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #6437,order categorical feature 3 #187,6044
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2280,order categorical feature 3 #461,9294
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2096,order categorical feature 3 #401,9174
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3629,order categorical feature 3 #90,4858
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7617,order categorical feature 3 #263,5633
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7617,order categorical feature 3 #162,7911
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7617,order categorical feature 3 #233,5434
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4370,order categorical feature 3 #350,9072
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8279,order categorical feature 3 #256,9487
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8279,order categorical feature 3 #302,1814
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8501,order categorical feature 3 #132,9349
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8501,order categorical feature 3 #137,8132
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8501,order categorical feature 3 #181,5641
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3032,order categorical feature 3 #316,8994
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3890,order categorical feature 3 #317,6135
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3890,order categorical feature 3 #17,7217
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8226,order categorical feature 3 #112,7738
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7782,order categorical feature 3 #122,9021
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7814,order categorical feature 3 #58,3471
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7814,order categorical feature 3 #302,7608
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2704,order categorical feature 3 #31,4420
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4828,order categorical feature 3 #151,9096
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #189,order categorical feature 3 #176,7466
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #9139,order categorical feature 3 #461,9285
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #9139,order categorical feature 3 #395,5065
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #9139,order categorical feature 3 #449,8744
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #306,order categorical feature 3 #285,771
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #306,order categorical feature 3 #213,3121
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #5498,order categorical feature 3 #277,6351
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #995,order categorical feature 3 #1,9316
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #995,order categorical feature 3 #291,8469
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8463,order categorical feature 3 #31,130
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4180,order categorical feature 3 #244,3880
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4180,order categorical feature 3 #45,6179
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8749,order categorical feature 3 #187,5602
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8749,order categorical feature 3 #79,3597
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8749,order categorical feature 3 #416,3546
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7763,order categorical feature 3 #239,9571
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8735,order categorical feature 3 #331,3996
1992-02-19,order categorical feature 1 #7,order categorical feature 2 #5444,order categorical feature 3 #187,7812
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3591,order categorical feature 3 #108,8471
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3591,order categorical feature 3 #419,9417
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3942,order categorical feature 3 #67,313
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8386,order categorical feature 3 #26,1777
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3829,order categorical feature 3 #189,4170
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3829,order categorical feature 3 #302,2213
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3829,order categorical feature 3 #355,9192
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3683,order categorical feature 3 #148,6679
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4547,order categorical feature 3 #74,2878
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4547,order categorical feature 3 #180,1504
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4547,order categorical feature 3 #489,6459
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #1986,order categorical feature 3 #303,8524
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #1986,order categorical feature 3 #306,514
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4956,order categorical feature 3 #283,7664
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #5651,order categorical feature 3 #417,7355
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2381,order categorical feature 3 #54,1171
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3743,order categorical feature 3 #83,5606
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #1697,order categorical feature 3 #193,9689
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #4298,order categorical feature 3 #202,5585
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #4298,order categorical feature 3 #203,8095
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3277,order categorical feature 3 #180,607
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3277,order categorical feature 3 #351,3479
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3277,order categorical feature 3 #7,9651
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #5020,order categorical feature 3 #113,8532
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #5181,order categorical feature 3 #213,3329
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3499,order categorical feature 3 #263,6069
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #3263,order categorical feature 3 #173,7693
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #6286,order categorical feature 3 #241,6976
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #5577,order categorical feature 3 #254,7322
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #1816,order categorical feature 3 #287,9692
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2930,order categorical feature 3 #207,7034
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7699,order categorical feature 3 #459,5559
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #2935,order categorical feature 3 #490,6632
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #8467,order categorical feature 3 #426,8568
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #7638,order categorical feature 3 #206,7419
1992-02-18,order categorical feature 1 #7,order categorical feature 2 #7601,order categorical feature 3 #20,5427
1992-02-18,order categorical feature 1 #2,order categorical feature 2 #6633,order categorical feature 3 #428,9584
